Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender,Month,Trip Week
299,2020-04-01 09:28:21.897,2020-04-01 09:33:21.702,3639,Harborside,40.71925170000001,-74.034234,3267,Morris Canal,40.7124188237569,-74.03852552175522,42495,Subscriber,1962,2,April,Wednesday
153,2020-04-01 09:29:46.912,2020-04-01 09:32:20.772,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,42115,Subscriber,1981,1,April,Wednesday
631,2020-04-01 09:39:12.260,2020-04-01 09:49:43.920,3213,Van Vorst Park,40.71848892,-74.047726625,3187,Warren St,40.721123600000006,-74.03805095,42373,Subscriber,1968,1,April,Wednesday
2281,2020-04-01 09:39:57.976,2020-04-01 10:17:59.631,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42473,Subscriber,1971,2,April,Wednesday
3164,2020-04-01 10:02:04.671,2020-04-01 10:54:49.392,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,3214,Essex Light Rail,40.712774200000005,-74.03648570000001,42292,Subscriber,1977,1,April,Wednesday
171,2020-04-01 10:04:14.965,2020-04-01 10:07:06.279,3270,Jersey & 6th St,40.72528910781132,-74.04557168483734,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42229,Subscriber,1960,1,April,Wednesday
240,2020-04-01 10:06:29.639,2020-04-01 10:10:30.331,3681,Grand St,40.71517767732029,-74.03768330812454,3186,Grove St PATH,40.71958611647166,-74.0431174635887,42367,Subscriber,1987,1,April,Wednesday
392,2020-04-01 10:09:31.176,2020-04-01 10:16:03.346,3213,Van Vorst Park,40.71848892,-74.047726625,3213,Van Vorst Park,40.71848892,-74.047726625,42114,Subscriber,1976,1,April,Wednesday
4737,2020-04-01 10:47:21.948,2020-04-01 12:06:19.368,3185,City Hall,40.717732500000004,-74.04384499999999,3185,City Hall,40.717732500000004,-74.04384499999999,42442,Subscriber,1953,2,April,Wednesday
4724,2020-04-01 10:47:37.091,2020-04-01 12:06:21.291,3185,City Hall,40.717732500000004,-74.04384499999999,3185,City Hall,40.717732500000004,-74.04384499999999,42237,Subscriber,1956,1,April,Wednesday
1271,2020-04-01 10:55:55.962,2020-04-01 11:17:06.964,3481,York St,40.71649,-74.04105,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42301,Customer,1969,0,April,Wednesday
224,2020-04-01 10:59:31.497,2020-04-01 11:03:16.297,3185,City Hall,40.717732500000004,-74.04384499999999,3639,Harborside,40.71925170000001,-74.034234,42586,Subscriber,1985,1,April,Wednesday
1643,2020-04-01 11:01:10.696,2020-04-01 11:28:33.876,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3267,Morris Canal,40.7124188237569,-74.03852552175522,34038,Subscriber,1970,1,April,Wednesday
424,2020-04-01 11:07:07.275,2020-04-01 11:14:11.465,3679,Bergen Ave,40.72210378668603,-74.07145500183104,3195,Sip Ave,40.73089709786179,-74.06391263008119,42543,Subscriber,1999,1,April,Wednesday
804,2020-04-01 11:07:11.555,2020-04-01 11:20:36.335,3191,Union St,40.71821129999999,-74.08363940000001,3195,Sip Ave,40.73089709786179,-74.06391263008119,42145,Subscriber,1977,1,April,Wednesday
1004,2020-04-01 11:07:24.753,2020-04-01 11:24:09.190,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42131,Subscriber,1995,2,April,Wednesday
1528,2020-04-01 11:12:50.947,2020-04-01 11:38:19.886,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,42497,Subscriber,1959,1,April,Wednesday
412,2020-04-01 11:17:02.328,2020-04-01 11:23:54.430,3186,Grove St PATH,40.71958611647166,-74.0431174635887,3681,Grand St,40.71517767732029,-74.03768330812454,42367,Subscriber,1987,1,April,Wednesday
1353,2020-04-01 11:20:04.953,2020-04-01 11:42:38.520,3192,Liberty Light Rail,40.711242299999995,-74.0557013,3481,York St,40.71649,-74.04105,42301,Customer,1969,0,April,Wednesday
737,2020-04-01 11:30:20.719,2020-04-01 11:42:38.521,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3192,Liberty Light Rail,40.711242299999995,-74.0557013,42255,Subscriber,1989,1,April,Wednesday
2872,2020-04-01 11:30:42.879,2020-04-01 12:18:35.214,3195,Sip Ave,40.73089709786179,-74.06391263008119,3195,Sip Ave,40.73089709786179,-74.06391263008119,42159,Subscriber,1987,1,April,Wednesday
1349,2020-04-01 11:37:18.292,2020-04-01 11:59:48.168,3677,Glenwood Ave,40.72755146730012,-74.07106071710588,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,42527,Customer,1987,2,April,Wednesday
742,2020-04-01 11:41:38.903,2020-04-01 11:54:01.637,3678,Fairmount Ave,40.72572613742557,-74.07195925712584,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42205,Customer,1969,0,April,Wednesday
1795,2020-04-01 11:44:09.926,2020-04-01 12:14:05.113,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131606,42209,Subscriber,1994,1,April,Wednesday
352,2020-04-01 11:48:22.845,2020-04-01 11:54:15.477,3639,Harborside,40.71925170000001,-74.034234,3267,Morris Canal,40.7124188237569,-74.03852552175522,42274,Subscriber,1984,1,April,Wednesday
